month,lat,lng,sla_bucket,orders
2026-04,12.99,77.595,NonQuickDelivery,66
2026-04,12.99,77.55,NonQuickDelivery,65
2026-04,12.975,77.655,NonQuickDelivery,65
2026-04,12.99,77.61,NonQuickDelivery,63
2026-04,12.885,77.655,QuickDelivery,63
2026-04,12.9,77.685,QuickDelivery,62
2026-04,13.035,77.625,NonQuickDelivery,61
2026-04,12.975,77.61,NonQuickDelivery,61
2026-04,12.975,77.67,NonQuickDelivery,61
2026-04,12.945,77.58,NonQuickDelivery,60
2026-04,12.945,77.61,NonQuickDelivery,60
2026-04,12.96,77.55,NonQuickDelivery,60
2026-04,12.885,77.61,QuickDelivery,60
2026-04,12.975,77.685,NonQuickDelivery,60
2026-04,13.005,77.55,NonQuickDelivery,59
2026-04,12.96,77.61,NonQuickDelivery,59
2026-04,12.96,77.52,NonQuickDelivery,58
2026-04,13.02,77.55,NonQuickDelivery,57
2026-04,12.885,77.67,QuickDelivery,56
2026-04,13.065,77.595,NonQuickDelivery,55
2026-04,13.005,77.58,NonQuickDelivery,55
2026-04,12.93,77.595,QuickDelivery,55
2026-04,13.005,77.535,NonQuickDelivery,55
2026-04,12.915,77.565,NonQuickDelivery,55
2026-04,12.99,77.7,NonQuickDelivery,53
2026-04,12.975,77.7,NonQuickDelivery,53
2026-04,13.02,77.655,NonQuickDelivery,53
2026-04,12.885,77.55,NonQuickDelivery,53
2026-04,12.99,77.715,NonQuickDelivery,53
2026-04,12.915,77.535,NonQuickDelivery,52
2026-04,12.975,77.73,NonQuickDelivery,51
2026-04,12.93,77.565,NonQuickDelivery,51
2026-04,12.975,77.76,NonQuickDelivery,50
2026-04,13.035,77.58,NonQuickDelivery,50
2026-04,12.9,77.7,QuickDelivery,50
2026-04,13.02,77.685,NonQuickDelivery,49
2026-04,13.02,77.58,NonQuickDelivery,49
2026-04,13.095,77.58,NonQuickDelivery,48
2026-04,12.915,77.58,QuickDelivery,48
2026-04,12.9,77.565,NonQuickDelivery,46
2026-04,12.945,77.52,NonQuickDelivery,46
2026-04,12.945,77.535,NonQuickDelivery,45
2026-04,12.975,77.52,NonQuickDelivery,45
2026-04,13.02,77.715,NonQuickDelivery,45
2026-04,13.035,77.655,NonQuickDelivery,45
2026-04,13.02,77.535,NonQuickDelivery,44
2026-04,12.87,77.655,QuickDelivery,44
2026-04,12.975,77.535,NonQuickDelivery,43
2026-04,13.05,77.61,NonQuickDelivery,43
2026-04,13.035,77.64,NonQuickDelivery,43
2026-04,13.065,77.58,NonQuickDelivery,43
2026-04,13.02,77.67,NonQuickDelivery,43
2026-04,12.855,77.67,NonQuickDelivery,42
2026-04,13.05,77.58,NonQuickDelivery,41
2026-04,13.005,77.64,NonQuickDelivery,40
2026-04,13.02,77.7,NonQuickDelivery,39
2026-04,12.99,77.73,NonQuickDelivery,39
2026-04,12.9,77.52,NonQuickDelivery,38
2026-04,13.005,77.7,NonQuickDelivery,38
2026-04,12.915,77.7,QuickDelivery,37
2026-04,12.87,77.61,QuickDelivery,36
2026-04,12.99,77.535,NonQuickDelivery,36
2026-04,13.065,77.61,NonQuickDelivery,36
2026-04,12.96,77.73,NonQuickDelivery,36
2026-04,13.005,77.745,NonQuickDelivery,36
2026-04,12.99,77.52,NonQuickDelivery,36
2026-04,13.05,77.625,NonQuickDelivery,36
2026-04,12.975,77.715,NonQuickDelivery,36
2026-04,13.035,77.67,NonQuickDelivery,35
2026-04,12.9,77.535,NonQuickDelivery,35
2026-04,13.035,77.685,NonQuickDelivery,35
2026-04,12.84,77.64,NonQuickDelivery,35
2026-04,12.99,77.49,NonQuickDelivery,34
2026-04,13.05,77.595,NonQuickDelivery,34
2026-04,12.975,77.505,NonQuickDelivery,33
2026-04,12.915,77.505,NonQuickDelivery,33
2026-04,12.87,77.595,NonQuickDelivery,33
2026-04,12.825,77.655,NonQuickDelivery,32
2026-04,12.93,77.745,NonQuickDelivery,31
2026-04,13.065,77.565,NonQuickDelivery,31
2026-04,13.005,77.67,NonQuickDelivery,31
2026-04,13.005,77.595,NonQuickDelivery,31
2026-04,12.9,77.55,NonQuickDelivery,30
2026-04,13.005,77.61,NonQuickDelivery,30
2026-04,12.96,77.745,NonQuickDelivery,29
2026-04,12.855,77.685,NonQuickDelivery,29
2026-04,12.855,77.655,QuickDelivery,28
2026-04,12.9,77.715,NonQuickDelivery,28
2026-04,13.005,77.52,NonQuickDelivery,27
2026-04,12.945,77.685,NonQuickDelivery,27
2026-04,12.99,77.64,NonQuickDelivery,27
2026-04,12.93,77.49,NonQuickDelivery,27
2026-04,12.99,77.745,NonQuickDelivery,27
2026-04,12.885,77.58,NonQuickDelivery,26
2026-04,13.005,77.715,NonQuickDelivery,26
2026-04,12.825,77.685,NonQuickDelivery,26
2026-04,13.035,77.55,NonQuickDelivery,26
2026-04,13.035,77.7,NonQuickDelivery,25
2026-04,12.87,77.535,NonQuickDelivery,25
2026-04,12.87,77.67,QuickDelivery,25
2026-04,12.855,77.595,NonQuickDelivery,24
2026-04,13.05,77.565,NonQuickDelivery,24
2026-04,12.825,77.67,NonQuickDelivery,24
2026-04,12.93,77.73,NonQuickDelivery,24
2026-04,13.005,77.655,NonQuickDelivery,24
2026-04,13.035,77.715,NonQuickDelivery,23
2026-04,12.915,77.52,NonQuickDelivery,23
2026-04,12.84,77.67,NonQuickDelivery,23
2026-04,12.99,77.655,NonQuickDelivery,23
2026-04,12.87,77.55,NonQuickDelivery,22
2026-04,12.93,77.505,NonQuickDelivery,22
2026-04,12.885,77.565,NonQuickDelivery,22
2026-04,12.96,77.685,NonQuickDelivery,22
2026-04,12.87,77.58,NonQuickDelivery,22
2026-04,13.05,77.49,NonQuickDelivery,22
2026-04,13.005,77.505,NonQuickDelivery,22
2026-04,12.945,77.49,NonQuickDelivery,22
2026-04,13.05,77.64,NonQuickDelivery,22
2026-04,12.855,77.58,NonQuickDelivery,21
2026-04,12.96,77.67,NonQuickDelivery,20
2026-04,12.96,77.625,NonQuickDelivery,20
2026-04,12.87,77.64,QuickDelivery,20
2026-04,12.99,77.625,NonQuickDelivery,19
2026-04,12.99,77.505,NonQuickDelivery,18
2026-04,13.05,77.505,NonQuickDelivery,18
2026-04,12.945,77.73,NonQuickDelivery,17
2026-04,12.96,77.505,NonQuickDelivery,17
2026-04,12.84,77.685,NonQuickDelivery,17
2026-04,12.87,77.625,QuickDelivery,17
2026-04,13.005,77.49,NonQuickDelivery,17
2026-04,12.915,77.73,NonQuickDelivery,16
2026-04,12.93,77.52,NonQuickDelivery,16
2026-04,12.975,77.49,NonQuickDelivery,15
2026-04,12.99,77.76,NonQuickDelivery,15
2026-04,13.02,77.52,NonQuickDelivery,15
